 X,Y, TEMPERATURE, AIR VOLUME FRACTION, CARBON DIOXIDE VOLUME FRACTION, CARBON MONOXIDE AEROSOL VOLUME FRACTION, OXYGEN VOLUME FRACTION
 m,m, C, mol/mol, mol/mol,, mol/mol
-0.81000E+02,-0.12000E+02, 0.22897E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.80000E+02,-0.12000E+02, 0.22904E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.79000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.78000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.77000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.76000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.75000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.74000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.73000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.72000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.71000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.70000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.69000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.68000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.67000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.66000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.65000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.64000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.63000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.62000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.61000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.14646E-37, 0.20782E+00
-0.60000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.97305E-37, 0.20782E+00
-0.59000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.42548E-36, 0.20782E+00
-0.58000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.76397E-36, 0.20782E+00
-0.57000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.79263E-36, 0.20782E+00
-0.56000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.52865E-36, 0.20782E+00
-0.55000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.24504E-36, 0.20782E+00
-0.54000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.18719E-35, 0.20782E+00
-0.53000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.13405E-33, 0.20782E+00
-0.52000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.11293E-31, 0.20782E+00
-0.51000E+02,-0.12000E+02, 0.22905E+02, 0.10000E+01, 0.38690E-03, 0.11539E-31, 0.20782E+00
-0.50000E+02,-0.12000E+02, 0.22904E+02, 0.10000E+01, 0.38690E-03, 0.38898E-33, 0.20782E+00
-0.49000E+02,-0.12000E+02, 0.22903E+02, 0.10000E+01, 0.38690E-03, 0.11233E-34, 0.20782E+00
-0.48000E+02,-0.12000E+02, 0.22903E+02, 0.10000E+01, 0.38690E-03, 0.31479E-36, 0.20782E+00
-0.47000E+02,-0.12000E+02, 0.22903E+02, 0.10000E+01, 0.38690E-03, 0.20831E-35, 0.20782E+00
-0.46000E+02,-0.12000E+02, 0.22904E+02, 0.10000E+01, 0.38690E-03, 0.89232E-34, 0.20782E+00
-0.45000E+02,-0.12000E+02, 0.22904E+02, 0.10000E+01, 0.38690E-03, 0.38030E-32, 0.20782E+00
-0.44000E+02,-0.12000E+02, 0.22905E+02, 0.10000E+01, 0.38690E-03, 0.15630E-30, 0.20782E+00
-0.43000E+02,-0.12000E+02, 0.22905E+02, 0.10000E+01, 0.38690E-03, 0.63670E-29, 0.20782E+00
-0.42000E+02,-0.12000E+02, 0.22906E+02, 0.10000E+01, 0.38690E-03, 0.24997E-27, 0.20782E+00
-0.41000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.93588E-26, 0.20782E+00
-0.40000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.34104E-24, 0.20782E+00
-0.39000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.11905E-22, 0.20782E+00
-0.38000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.78501E-21, 0.20782E+00
-0.37000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.38405E-18, 0.20782E+00
