 X,Y, TEMPERATURE, AIR VOLUME FRACTION, CARBON DIOXIDE VOLUME FRACTION, CARBON MONOXIDE AEROSOL VOLUME FRACTION, OXYGEN VOLUME FRACTION
 m,m, C, mol/mol, mol/mol,, mol/mol
-0.81000E+02,-0.12000E+02, 0.22883E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.80000E+02,-0.12000E+02, 0.22890E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.79000E+02,-0.12000E+02, 0.22897E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.78000E+02,-0.12000E+02, 0.22897E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.77000E+02,-0.12000E+02, 0.22897E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.76000E+02,-0.12000E+02, 0.22897E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.75000E+02,-0.12000E+02, 0.22843E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.74000E+02,-0.12000E+02, 0.22817E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.73000E+02,-0.12000E+02, 0.22925E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.72000E+02,-0.12000E+02, 0.22954E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.71000E+02,-0.12000E+02, 0.22901E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.70000E+02,-0.12000E+02, 0.22900E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.69000E+02,-0.12000E+02, 0.22891E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.68000E+02,-0.12000E+02, 0.22897E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.67000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.66000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.65000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.64000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.63000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.62000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.61000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.60000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.59000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.58000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.57000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.56000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.55000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.54000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.53000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.52000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.18959E-37, 0.20782E+00
-0.51000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.19219E-37, 0.20782E+00
-0.50000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.49000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.48000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.47000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.95475E-37, 0.20782E+00
-0.46000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.99377E-36, 0.20782E+00
-0.45000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.12666E-34, 0.20782E+00
-0.44000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.21829E-33, 0.20782E+00
-0.43000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.52822E-32, 0.20782E+00
-0.42000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.16881E-30, 0.20782E+00
-0.41000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.54376E-29, 0.20782E+00
-0.40000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.16661E-27, 0.20782E+00
-0.39000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.44758E-26, 0.20782E+00
-0.38000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.11315E-24, 0.20782E+00
-0.37000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.26168E-23, 0.20782E+00
-0.36000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.64416E-22, 0.20782E+00
-0.35000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.70259E-20, 0.20782E+00
-0.34000E+02,-0.12000E+02, 0.22866E+02, 0.10000E+01, 0.38690E-03, 0.23759E-18, 0.20782E+00
-0.33000E+02,-0.12000E+02, 0.22891E+02, 0.10000E+01, 0.38690E-03, 0.38845E-16, 0.20782E+00
-0.32000E+02,-0.12000E+02, 0.22932E+02, 0.10000E+01, 0.38690E-03, 0.72888E-15, 0.20782E+00
-0.31000E+02,-0.12000E+02, 0.22905E+02, 0.10000E+01, 0.38690E-03, 0.65971E-14, 0.20782E+00
-0.30000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.17710E-13, 0.20782E+00
-0.29000E+02,-0.12000E+02, 0.22926E+02, 0.10000E+01, 0.38690E-03, 0.41353E-13, 0.20782E+00
-0.28000E+02,-0.12000E+02, 0.22981E+02, 0.10000E+01, 0.38690E-03, 0.81912E-13, 0.20782E+00
