 X,Y, TEMPERATURE, AIR VOLUME FRACTION, CARBON DIOXIDE VOLUME FRACTION, CARBON MONOXIDE AEROSOL VOLUME FRACTION, OXYGEN VOLUME FRACTION
 m,m, C, mol/mol, mol/mol,, mol/mol
-0.81000E+02,-0.12000E+02, 0.22875E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.80000E+02,-0.12000E+02, 0.22882E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.79000E+02,-0.12000E+02, 0.22890E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.78000E+02,-0.12000E+02, 0.22890E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.77000E+02,-0.12000E+02, 0.22890E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.76000E+02,-0.12000E+02, 0.22890E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.75000E+02,-0.12000E+02, 0.22849E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.74000E+02,-0.12000E+02, 0.22824E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.73000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.72000E+02,-0.12000E+02, 0.22946E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.71000E+02,-0.12000E+02, 0.22906E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.70000E+02,-0.12000E+02, 0.22903E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.69000E+02,-0.12000E+02, 0.22895E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.68000E+02,-0.12000E+02, 0.22901E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.67000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.66000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.65000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.64000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.63000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.62000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.61000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.60000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.59000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.58000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.57000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.56000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.55000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.54000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.93803E-37, 0.20782E+00
-0.53000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.93118E-35, 0.20782E+00
-0.52000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.46603E-33, 0.20782E+00
-0.51000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.47374E-33, 0.20782E+00
-0.50000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.17466E-34, 0.20782E+00
-0.49000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.42932E-35, 0.20782E+00
-0.48000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.81952E-34, 0.20782E+00
-0.47000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.14798E-32, 0.20782E+00
-0.46000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.16202E-31, 0.20782E+00
-0.45000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.15277E-30, 0.20782E+00
-0.44000E+02,-0.12000E+02, 0.22908E+02, 0.10000E+01, 0.38690E-03, 0.15704E-29, 0.20782E+00
-0.43000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.18232E-28, 0.20782E+00
-0.42000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.47101E-27, 0.20782E+00
-0.41000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.13714E-25, 0.20782E+00
-0.40000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.36568E-24, 0.20782E+00
-0.39000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.86721E-23, 0.20782E+00
-0.38000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.20463E-21, 0.20782E+00
-0.37000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.32122E-19, 0.20782E+00
-0.36000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.57714E-17, 0.20782E+00
-0.35000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.87307E-15, 0.20782E+00
-0.34000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.13129E-13, 0.20782E+00
-0.33000E+02,-0.12000E+02, 0.22893E+02, 0.10000E+01, 0.38691E-03, 0.12687E-11, 0.20782E+00
-0.32000E+02,-0.12000E+02, 0.22894E+02, 0.10000E+01, 0.38703E-03, 0.14170E-10, 0.20782E+00
-0.31000E+02,-0.12000E+02, 0.22912E+02, 0.99999E+00, 0.38796E-03, 0.11772E-09, 0.20782E+00
-0.30000E+02,-0.12000E+02, 0.22916E+02, 0.99999E+00, 0.38927E-03, 0.26299E-09, 0.20782E+00
-0.29000E+02,-0.12000E+02, 0.22931E+02, 0.99998E+00, 0.39175E-03, 0.53848E-09, 0.20782E+00
-0.28000E+02,-0.12000E+02, 0.22956E+02, 0.99995E+00, 0.39769E-03, 0.11991E-08, 0.20781E+00
-0.27000E+02,-0.12000E+02, 0.22956E+02, 0.99996E+00, 0.39427E-03, 0.81876E-09, 0.20782E+00
-0.26000E+02,-0.12000E+02, 0.22948E+02, 0.10000E+01, 0.38690E-03, 0.12279E-19, 0.20782E+00
-0.25000E+02,-0.12000E+02, 0.22951E+02, 0.10000E+01, 0.38690E-03, 0.81718E-21, 0.20782E+00
