 X,Y, TEMPERATURE, AIR VOLUME FRACTION, CARBON DIOXIDE VOLUME FRACTION, CARBON MONOXIDE AEROSOL VOLUME FRACTION, OXYGEN VOLUME FRACTION
 m,m, C, mol/mol, mol/mol,, mol/mol
-0.81000E+02,-0.12000E+02, 0.22915E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.80000E+02,-0.12000E+02, 0.22922E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.79000E+02,-0.12000E+02, 0.22929E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.78000E+02,-0.12000E+02, 0.22930E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.77000E+02,-0.12000E+02, 0.22930E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.76000E+02,-0.12000E+02, 0.22930E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.75000E+02,-0.12000E+02, 0.22932E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.74000E+02,-0.12000E+02, 0.22889E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.73000E+02,-0.12000E+02, 0.22877E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.72000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.71000E+02,-0.12000E+02, 0.22907E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.70000E+02,-0.12000E+02, 0.22899E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.69000E+02,-0.12000E+02, 0.22895E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.68000E+02,-0.12000E+02, 0.22906E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.67000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.66000E+02,-0.12000E+02, 0.22915E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.65000E+02,-0.12000E+02, 0.22915E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.64000E+02,-0.12000E+02, 0.22916E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.63000E+02,-0.12000E+02, 0.22916E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.62000E+02,-0.12000E+02, 0.22916E+02, 0.10000E+01, 0.38690E-03, 0.35607E-37, 0.20782E+00
-0.61000E+02,-0.12000E+02, 0.22916E+02, 0.10000E+01, 0.38690E-03, 0.28480E-36, 0.20782E+00
-0.60000E+02,-0.12000E+02, 0.22916E+02, 0.10000E+01, 0.38690E-03, 0.10657E-35, 0.20782E+00
-0.59000E+02,-0.12000E+02, 0.22916E+02, 0.10000E+01, 0.38690E-03, 0.13958E-35, 0.20782E+00
-0.58000E+02,-0.12000E+02, 0.22916E+02, 0.10000E+01, 0.38690E-03, 0.79479E-36, 0.20782E+00
-0.57000E+02,-0.12000E+02, 0.22915E+02, 0.10000E+01, 0.38690E-03, 0.35207E-36, 0.20782E+00
-0.56000E+02,-0.12000E+02, 0.22915E+02, 0.10000E+01, 0.38690E-03, 0.22408E-36, 0.20782E+00
-0.55000E+02,-0.12000E+02, 0.22915E+02, 0.10000E+01, 0.38690E-03, 0.12340E-35, 0.20782E+00
-0.54000E+02,-0.12000E+02, 0.22914E+02, 0.10000E+01, 0.38690E-03, 0.13255E-33, 0.20782E+00
-0.53000E+02,-0.12000E+02, 0.22913E+02, 0.10000E+01, 0.38690E-03, 0.13448E-31, 0.20782E+00
-0.52000E+02,-0.12000E+02, 0.22912E+02, 0.10000E+01, 0.38690E-03, 0.87108E-30, 0.20782E+00
-0.51000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.89105E-30, 0.20782E+00
-0.50000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.34129E-31, 0.20782E+00
-0.49000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.27487E-32, 0.20782E+00
-0.48000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.47577E-31, 0.20782E+00
-0.47000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.82014E-30, 0.20782E+00
-0.46000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.11135E-28, 0.20782E+00
-0.45000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.14273E-27, 0.20782E+00
-0.44000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.96423E-27, 0.20782E+00
-0.43000E+02,-0.12000E+02, 0.22909E+02, 0.10000E+01, 0.38690E-03, 0.63012E-26, 0.20782E+00
-0.42000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.10995E-24, 0.20782E+00
-0.41000E+02,-0.12000E+02, 0.22910E+02, 0.10000E+01, 0.38690E-03, 0.27915E-23, 0.20782E+00
-0.40000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.74330E-22, 0.20782E+00
-0.39000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.81529E-20, 0.20782E+00
-0.38000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.20932E-17, 0.20782E+00
-0.37000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.54134E-15, 0.20782E+00
-0.36000E+02,-0.12000E+02, 0.22911E+02, 0.10000E+01, 0.38690E-03, 0.13189E-12, 0.20782E+00
-0.35000E+02,-0.12000E+02, 0.22920E+02, 0.10000E+01, 0.38716E-03, 0.28297E-10, 0.20782E+00
-0.34000E+02,-0.12000E+02, 0.22973E+02, 0.99993E+00, 0.40094E-03, 0.15589E-08, 0.20781E+00
-0.33000E+02,-0.12000E+02, 0.29544E+02, 0.98852E+00, 0.26613E-02, 0.22703E-06, 0.20544E+00
-0.32000E+02,-0.12000E+02, 0.34828E+02, 0.97995E+00, 0.43594E-02, 0.40216E-06, 0.20366E+00
-0.31000E+02,-0.12000E+02, 0.42880E+02, 0.97339E+00, 0.56584E-02, 0.50653E-06, 0.20229E+00
-0.30000E+02,-0.12000E+02, 0.51194E+02, 0.96476E+00, 0.73672E-02, 0.65067E-06, 0.20050E+00
-0.29000E+02,-0.12000E+02, 0.44261E+02, 0.97186E+00, 0.59613E-02, 0.53662E-06, 0.20197E+00
-0.28000E+02,-0.12000E+02, 0.32205E+02, 0.98658E+00, 0.30444E-02, 0.27062E-06, 0.20503E+00
-0.27000E+02,-0.12000E+02, 0.24399E+02, 0.99746E+00, 0.89068E-03, 0.54794E-07, 0.20729E+00
-0.26000E+02,-0.12000E+02, 0.22779E+02, 0.10000E+01, 0.38690E-03, 0.73080E-16, 0.20782E+00
-0.25000E+02,-0.12000E+02, 0.22868E+02, 0.10000E+01, 0.38690E-03, 0.33186E-17, 0.20782E+00
-0.24000E+02,-0.12000E+02, 0.22873E+02, 0.10000E+01, 0.38690E-03, 0.32281E-19, 0.20782E+00
-0.23000E+02,-0.12000E+02, 0.22875E+02, 0.10000E+01, 0.38690E-03, 0.12486E-20, 0.20782E+00
-0.22000E+02,-0.12000E+02, 0.22875E+02, 0.10000E+01, 0.38690E-03, 0.65879E-21, 0.20782E+00
