 X,Y, TEMPERATURE, AIR VOLUME FRACTION, CARBON DIOXIDE VOLUME FRACTION, CARBON MONOXIDE AEROSOL VOLUME FRACTION, OXYGEN VOLUME FRACTION
 m,m, C, mol/mol, mol/mol,, mol/mol
-0.81000E+02,-0.12000E+02, 0.21063E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.80000E+02,-0.12000E+02, 0.21064E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.79000E+02,-0.12000E+02, 0.21065E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.78000E+02,-0.12000E+02, 0.21065E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.77000E+02,-0.12000E+02, 0.21065E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.76000E+02,-0.12000E+02, 0.21065E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.75000E+02,-0.12000E+02, 0.21057E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.74000E+02,-0.12000E+02, 0.21054E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.73000E+02,-0.12000E+02, 0.21070E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.72000E+02,-0.12000E+02, 0.21073E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.71000E+02,-0.12000E+02, 0.21065E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.70000E+02,-0.12000E+02, 0.21064E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.69000E+02,-0.12000E+02, 0.21064E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.68000E+02,-0.12000E+02, 0.21065E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.67000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.66000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.65000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.64000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.63000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.62000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.61000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.60000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.59000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.58000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.57000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.56000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.55000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.54000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.53000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.52000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.51000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.50000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.49000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.48000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.47000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.46000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.45000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.44000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.43000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.42000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.41000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
-0.40000E+02,-0.12000E+02, 0.21066E+02, 0.10000E+01, 0.38690E-03, 0.00000E+00, 0.20782E+00
